"filename", "language", "Python", "Makefile", "C#", "F#", "Shell Script", "Batch", "C++", "C", "XML", "HTML", "JSON", "Properties", "Objective-C", "LaTeX", "Markdown", "PowerShell", "JavaScript", "CSS", "reStructuredText", "Ini", "Perl", "CMake", "comment", "blank", "total"
"c:\Users\fbcat\Documents\Tese_DSOR_ISR\Github\Thesis\Simulations\venv\Library\include\freetype\fttrigon.h", "C++", 0, 0, 0, 0, 0, 0, 44, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 262, 45, 351
"c:\Users\fbcat\Documents\Tese_DSOR_ISR\Github\Thesis\Simulations\venv\Library\include\freetype\fttypes.h", "C++", 0, 0, 0, 0, 0, 0, 82, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 439, 95, 616
"c:\Users\fbcat\Documents\Tese_DSOR_ISR\Github\Thesis\Simulations\venv\Library\include\freetype\ftwinfnt.h", "C++", 0, 0, 0, 0, 0, 0, 73, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 177, 27, 277
"c:\Users\fbcat\Documents\Tese_DSOR_ISR\Github\Thesis\Simulations\venv\Library\include\freetype\t1tables.h", "C++", 0, 0, 0, 0, 0, 0, 227, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 439, 108, 774
"c:\Users\fbcat\Documents\Tese_DSOR_ISR\Github\Thesis\Simulations\venv\Library\include\freetype\ttnameid.h", "C++", 0, 0, 0, 0, 0, 0, 673, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 494, 69, 1236
"c:\Users\fbcat\Documents\Tese_DSOR_ISR\Github\Thesis\Simulations\venv\Library\include\freetype\tttables.h", "C++", 0, 0, 0, 0, 0, 0, 195, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 580, 81, 856
"c:\Users\fbcat\Documents\Tese_DSOR_ISR\Github\Thesis\Simulations\venv\Library\include\freetype\tttags.h", "C++", 0, 0, 0, 0, 0, 0, 88, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 17, 124
"c:\Users\fbcat\Documents\Tese_DSOR_ISR\Github\Thesis\Simulations\venv\Library\include\ft2build.h", "C++", 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 30, 9, 43
"c:\Users\fbcat\Documents\Tese_DSOR_ISR\Github\Thesis\Simulations\venv\Library\include\itcl.h", "C++", 0, 0, 0, 0, 0, 0, 79, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 85, 31, 195
"c:\Users\fbcat\Documents\Tese_DSOR_ISR\Github\Thesis\Simulations\venv\Library\include\itclDecls.h", "C++", 0, 0, 0, 0, 0, 0, 148, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 41, 23, 212
"c:\Users\fbcat\Documents\Tese_DSOR_ISR\Github\Thesis\Simulations\venv\Library\include\jconfig.h", "C++", 0, 0, 0, 0, 0, 0, 36, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 11, 53
"c:\Users\fbcat\Documents\Tese_DSOR_ISR\Github\Thesis\Simulations\venv\Library\include\jerror.h", "C++", 0, 0, 0, 0, 0, 0, 256, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 29, 20, 305
